Date,Open,Close,High,Low,Volume
2017-10-12,10.633,10.643,10.673,10.563,578065.0
2017-10-13,10.653,10.453,10.653,10.343,737375.0
2017-10-16,10.453,10.683,10.693,10.383,1036250.0
2017-10-17,10.713,10.603,10.743,10.573,506372.0
2017-10-18,10.623,10.783,10.793,10.603,871365.0
2017-10-19,10.733,10.723,10.813,10.663,722764.0
2017-10-20,10.683,10.573,10.683,10.503,461808.0
2017-10-23,10.483,10.283,10.493,10.243,1074465.0
2017-10-24,10.293,10.483,10.513,10.273,618871.0
2017-10-25,10.453,10.363,10.463,10.343,418573.0
2017-10-26,10.343,10.273,10.413,10.213,928996.0
2017-10-27,10.283,10.653,10.653,10.273,1360086.0
2017-10-30,10.643,10.653,10.823,10.543,1278246.0
2017-10-31,10.643,10.633,10.673,10.483,627491.0
2017-11-01,10.653,10.493,10.683,10.413,692617.0
2017-11-02,10.453,10.633,10.673,10.353,604308.0
2017-11-03,10.583,10.483,10.773,10.443,743343.0
2017-11-06,10.513,10.373,10.513,10.183,1029902.0
2017-11-07,10.363,11.013,11.183,10.343,2477163.0
2017-11-08,11.093,11.223,11.683,11.023,4262825.0
2017-11-09,11.293,11.423,11.663,11.243,2295289.0
2017-11-10,11.463,11.393,11.643,11.243,1757552.0
2017-11-13,11.443,11.993,12.193,11.443,2566906.0
2017-11-14,12.043,12.043,12.353,11.903,1780302.0
2017-11-15,11.993,11.993,12.223,11.863,1263052.0
2017-11-16,11.993,12.193,12.213,11.763,1200814.0
2017-11-17,12.263,12.273,12.553,12.123,2064149.0
2017-11-20,12.223,13.343,13.343,12.143,2843925.0
2017-11-21,13.163,13.543,13.883,13.103,2495327.0
2017-11-22,13.573,14.193,14.333,13.573,2570231.0
2017-11-23,14.243,13.443,14.333,13.163,2429142.0
2017-11-24,13.383,13.653,13.683,12.873,2630189.0
2017-11-27,13.393,13.023,13.393,12.843,2064085.0
2017-11-28,12.943,12.793,12.943,12.493,1766432.0
2017-11-29,12.823,12.913,13.023,12.563,1564094.0
2017-11-30,12.793,12.473,12.823,12.353,1379635.0
2017-12-01,12.493,12.093,12.573,12.053,1784933.0
2017-12-04,12.143,12.393,12.463,12.093,1454023.0
2017-12-05,12.243,12.393,12.583,12.193,1723681.0
2017-12-06,12.353,12.173,12.363,11.883,1619844.0
2017-12-07,12.143,11.923,12.233,11.843,1181957.0
2017-12-08,11.983,12.183,12.183,11.843,1351315.0
2017-12-11,12.173,12.593,12.663,11.973,2261952.0
2017-12-12,12.493,12.113,12.573,12.113,1743405.0
2017-12-13,12.093,12.223,12.293,11.973,1289248.0
2017-12-14,12.243,12.093,12.403,12.003,1001997.0
2017-12-15,11.993,11.813,12.023,11.763,1099952.0
2017-12-18,11.823,11.843,12.003,11.733,805464.0
2017-12-19,11.883,12.373,12.413,11.833,2397942.0
2017-12-20,12.293,12.353,12.403,12.223,1106245.0
2017-12-21,12.273,12.633,12.773,12.253,1485203.0
2017-12-22,12.593,12.613,12.723,12.543,742900.0
2017-12-25,12.613,12.343,12.953,12.253,1585567.0
2017-12-26,12.353,12.753,12.783,12.283,1123688.0
2017-12-27,12.673,12.383,12.873,12.283,1366566.0
2017-12-28,12.373,12.303,12.553,12.113,1553030.0
2017-12-29,12.303,12.393,12.523,12.193,982915.0
